tripid,tripmode,objectno,objectname,start_time,start_odometer,start_postext,end_time,end_odometer,end_postext,duration,idle_time,distance,avg_speed,max_speed,fuel_usage,start_longitude,start_latitude,start_formatted_longitude,start_formatted_latitude,end_longitude,end_latitude,end_formatted_longitude,end_formatted_latitude,co2,fueltype,ep_distance,objectuid,optidrive_indicator,speeding_indicator,drivingevents_indicator,idling_indicator,fuelusage_indicator,coasting_indicator,constant_speed_indicator,green_speed_indicator,high_revving_indicator
9959069925,2,##WF65EXC,MIHS - PET,24/02/2022 14:48:36,31457945,"Newark Road, Peterborough PE1 5WA, GB",24/02/2022 15:01:27,31460235,"Dodson Way, Peterborough PE1 5XJ, GB",771,539,2290,29,60,1.094,-207470,52586077,"0°12'26.8"" W","52°35'09.8"" N",-205775,52573318,"0°12'20.7"" W","52°34'23.9"" N",2899,1,2290,1-44036-299896634E,0.746,1,0.446,0,1,1,1,1,0.779
9957694115,2,##WF65EXC,MIHS - PET,24/02/2022 09:37:36,31457670,"Newark Road, Peterborough PE1 5WA, GB",24/02/2022 09:47:21,31457945,"Newark Road, Peterborough PE1 5YJ, GB",585,560,275,3,27,0.156,-207855,52585817,"0°12'28.2"" W","52°35'08.9"" N",-207612,52586078,"0°12'27.4"" W","52°35'09.8"" N",413,1,275,1-44036-299896634E,0.875,1,0.123,1,1,1,1,1,1
9957327678,2,##WF65EXC,MIHS - PET,24/02/2022 08:17:37,31455800,"Dodson Way, Peterborough PE1 5XJ, GB",24/02/2022 08:25:50,31457670,"Empson Road, Peterborough PE1 5UP, GB",493,293,1870,31,63,0.969,-205321,52573282,"0°12'19.1"" W","52°34'23.8"" N",-207193,52585641,"0°12'25.8"" W","52°35'08.3"" N",2567,1,1870,1-44036-299896634E,0.599,1,0.265,1,1,0,0.25,1,0.68
9952475816,2,##WF65EXC,MIHS - PET,22/02/2022 19:03:03,31440800,"845 Lincoln Road, Peterborough PE1 3HG, GB",22/02/2022 19:53:02,31455800,"Dodson Way, Peterborough PE1 5XJ, GB",2999,828,15000,22,68,5,-261000,52596956,"0°15'39.6"" W","52°35'49.0"" N",-205556,52573480,"0°12'20.0"" W","52°34'24.5"" N",13250,1,15000,1-44036-299896634E,0.637,1,0.171,1,1,0.053,0.5,1,0.738
9952394266,2,##WF65EXC,MIHS - PET,22/02/2022 18:56:56,31440575,"825 Lincoln Road, Peterborough PE1 3HE, GB",22/02/2022 18:58:59,31440800,"845 Lincoln Road, Peterborough PE1 3HG, GB",123,39,225,5,33,0.156,-259476,52595668,"0°15'34.1"" W","52°35'44.4"" N",-261014,52596972,"0°15'39.6"" W","52°35'49.1"" N",413,1,225,1-44036-299896634E,1,1,1,1,1,1,1,1,1
9952383931,2,##WF65EXC,MIHS - PET,22/02/2022 18:50:55,31439900,"Maskew Avenue, Peterborough PE1 2AS, GB",22/02/2022 18:52:53,31440575,"823 Lincoln Road, Peterborough PE1 3HE, GB",118,51,675,30,40,0.188,-255581,52590949,"0°15'20.0"" W","52°35'27.4"" N",-259447,52595649,"0°15'34.0"" W","52°35'44.3"" N",498,1,675,1-44036-299896634E,0.838,1,1,1,1,0.269,0.9,1,0.693
9952369419,2,##WF65EXC,MIHS - PET,22/02/2022 18:22:52,31428680,"59 Helpston Road, Peterborough PE6 7JZ, GB",22/02/2022 18:44:42,31439900,"Maskew Avenue, Peterborough PE1 2AS, GB",1310,240,11220,36,89,3.469,-306417,52637891,"0°18'23.1"" W","52°38'16.4"" N",-255622,52590952,"0°15'20.2"" W","52°35'27.4"" N",9192,1,11220,1-44036-299896634E,0.577,1,0.185,1,1,0,0.23,1,0.625
9952311313,2,##WF65EXC,MIHS - PET,22/02/2022 17:46:31,31412120,"26 Hodney Road, Peterborough PE6 7YJ, GB",22/02/2022 18:15:05,31428680,"59 Helpston Road, Peterborough PE6 7JZ, GB",1714,308,16560,41,92,4.375,-198753,52608810,"0°11'55.5"" W","52°36'31.7"" N",-306461,52637889,"0°18'23.2"" W","52°38'16.4"" N",11593,1,16560,1-44036-299896634E,0.652,1,0.424,1,1,0.059,0.559,1,0.52
9952236328,2,##WF65EXC,MIHS - PET,22/02/2022 16:43:51,31405590,"Dodson Way, Peterborough PE1 5XJ, GB",22/02/2022 17:42:47,31412120,"26 Hodney Road, Peterborough PE6 7YJ, GB",3536,2723,6530,26,65,3.906,-205407,52573422,"0°12'19.4"" W","52°34'24.3"" N",-198754,52608820,"0°11'55.5"" W","52°36'31.7"" N",10350,1,6530,1-44036-299896634E,0.715,1,0.189,1,1,0.1,0.938,1,0.779
9959965248,2,##WF65EXG,MIHS - PET,24/02/2022 17:49:51,93667200,"Dodson Way, Peterborough PE1 5XJ, GB",24/02/2022 21:01:24,93785925,"Dodson Way, Peterborough PE1 5XJ, GB",11493,1141,118725,41,91,38.187,-205433,52573577,"0°12'19.5"" W","52°34'24.8"" N",-205460,52573536,"0°12'19.6"" W","52°34'24.7"" N",101195,1,118725,1-44036-1968633286,0.686,1,0.326,0.452,1,0.466,0.786,1,0.774
9959211288,2,##WF65EXG,MIHS - PET,24/02/2022 13:52:26,93666705,"Dodson Way, Peterborough PE1 5XJ, GB",24/02/2022 15:35:10,93667200,"Dodson Way, Peterborough PE1 5XJ, GB",6164,6073,495,4,21,4.094,-205429,52573520,"0°12'19.5"" W","52°34'24.6"" N",-205388,52573654,"0°12'19.3"" W","52°34'25.1"" N",10849,1,495,1-44036-1968633286,0.742,1,0.192,0,1,1,1,1,1
9952599807,2,##WF65EXG,MIHS - PET,22/02/2022 18:19:45,93548115,"Dodson Way, Peterborough PE1 5XJ, GB",22/02/2022 21:46:17,93666705,"Dodson Way, Peterborough PE1 5XJ, GB",12392,2332,118590,42,92,39.188,-205547,52573330,"0°12'19.9"" W","52°34'23.9"" N",-205426,52573553,"0°12'19.5"" W","52°34'24.7"" N",103848,1,118590,1-44036-1968633286,0.721,1,0.273,1,1,0.294,0.671,1,0.81
9951508219,2,##WF65EXG,MIHS - PET,22/02/2022 14:03:24,93547695,"Dodson Way, Peterborough PE1 5XJ, GB",22/02/2022 14:26:30,93548115,"Dodson Way, Peterborough PE1 5XJ, GB",1386,1285,420,7,21,0.906,-205468,52573270,"0°12'19.6"" W","52°34'23.7"" N",-205507,52573306,"0°12'19.8"" W","52°34'23.9"" N",2400,1,420,1-44036-1968633286,0.745,1,0.185,0.028,1,1,1,1,1
9962109398,2,##WF65EXH,MIHS - PET - Martin ,25/02/2022 10:56:33,95979095,"Crowland Road, Peterborough PE6 7TT, GB",25/02/2022 12:29:25,95986680,"Dodson Way, Peterborough PE1 5XJ, GB",5572,4863,7585,37,67,5.5,-186121,52623070,"0°11'10.0"" W","52°37'23.0"" N",-205590,52573546,"0°12'20.1"" W","52°34'24.7"" N",14575,1,7585,1-44036-5302045573,0.623,1,0.602,0,1,0.271,0.7,1,0.791
9961644979,2,##WF65EXH,MIHS - PET - Martin ,25/02/2022 08:42:08,95964720,"Crowland Road, Peterborough PE6 7TT, GB",25/02/2022 10:45:10,95979095,"Crowland Road, Peterborough PE6 7TT, GB",7382,5833,14375,32,71,8.5,-186337,52621488,"0°11'10.8"" W","52°37'17.3"" N",-186073,52622984,"0°11'09.8"" W","52°37'22.7"" N",22525,1,14375,1-44036-5302045573,0.578,1,0.533,0,1,0.005,0.665,1,0.845
9961064420,2,##WF65EXH,MIHS - PET - Martin ,25/02/2022 07:51:28,95953915,"Dodson Way, Peterborough PE1 5XJ, GB",25/02/2022 08:37:03,95964720,"Crowland Road, Peterborough PE6 7TT, GB",2735,1641,10805,34,83,4.5,-205832,52573352,"0°12'20.9"" W","52°34'24.0"" N",-186358,52621393,"0°11'10.8"" W","52°37'17.0"" N",11925,1,10805,1-44036-5302045573,0.56,1,0.375,0,1,0.184,0.553,1,0.81
9959245377,2,##WF65EXH,MIHS - PET - Martin ,24/02/2022 15:22:05,95946560,"Crowland Road, Peterborough PE6 7TT, GB",24/02/2022 15:43:32,95953915,"Dodson Way, Peterborough PE1 5XJ, GB",1287,536,7355,33,75,3,-186183,52623452,"0°11'10.2"" W","52°37'24.4"" N",-205775,52573397,"0°12'20.7"" W","52°34'24.2"" N",7950,1,7355,1-44036-5302045573,0.713,1,0.192,1,1,0.562,0.45,1,0.788
9958251689,2,##WF65EXH,MIHS - PET - Martin ,24/02/2022 11:02:33,95927180,"Crowland Road, Peterborough PE6 7TT, GB",24/02/2022 11:50:52,95946560,"Crowland Road, Peterborough PE6 7TT, GB",2899,1157,19380,39,84,10,-185923,52623132,"0°11'09.3"" W","52°37'23.2"" N",-186022,52623254,"0°11'09.6"" W","52°37'23.7"" N",26500,1,19380,1-44036-5302045573,0.662,1,1,0.115,1,0.36,0.735,1,0.421
9957843911,2,##WF65EXH,MIHS - PET - Martin ,24/02/2022 09:35:25,95926975,"Crowland Road, Peterborough PE6 7TT, GB",24/02/2022 10:20:19,95927180,"Crowland Road, Peterborough PE6 7TT, GB",2694,2648,205,7,19,2,-186343,52621431,"0°11'10.8"" W","52°37'17.1"" N",-186108,52623149,"0°11'09.9"" W","52°37'23.3"" N",5300,1,205,1-44036-5302045573,0.857,1,1,0,1,1,1,1,1
9957298955,2,##WF65EXH,MIHS - PET - Martin ,24/02/2022 08:00:30,95920040,"Dodson Way, Peterborough PE1 5XJ, GB",24/02/2022 08:19:25,95926975,"Crowland Road, Peterborough PE6 7TT, GB",1135,313,6935,29,63,2.5,-205781,52573491,"0°12'20.8"" W","52°34'24.5"" N",-186341,52621404,"0°11'10.8"" W","52°37'17.0"" N",6625,1,6935,1-44036-5302045573,0.783,1,1,1,1,0.2,0.524,1,0.76
9955564409,2,##WF65EXH,MIHS - PET - Martin ,23/02/2022 15:19:05,95907955,"Crowland Road, Peterborough PE6 7TT, GB",23/02/2022 15:48:15,95920040,"Dodson Way, Peterborough PE1 5XJ, GB",1750,536,12085,34,91,4,-186228,52622422,"0°11'10.4"" W","52°37'20.7"" N",-205836,52573329,"0°12'21.0"" W","52°34'23.9"" N",10600,1,12085,1-44036-5302045573,0.82,1,1,1,1,0.371,0.486,1,0.885
9955308961,2,##WF65EXH,MIHS - PET - Martin ,23/02/2022 14:25:33,95901200,"Dodson Way, Peterborough PE1 5XJ, GB",23/02/2022 14:47:43,95907955,"Crowland Road, Peterborough PE6 7TT, GB",1330,546,6755,29,60,3.5,-205521,52574180,"0°12'19.8"" W","52°34'27.0"" N",-186221,52622397,"0°11'10.3"" W","52°37'20.6"" N",9275,1,6755,1-44036-5302045573,0.748,1,1,0.078,1,0.471,0.686,1,1
9955190226,2,##WF65EXH,MIHS - PET - Martin ,23/02/2022 13:19:10,95891725,"Crowland Road, Peterborough PE6 7TT, GB",23/02/2022 14:19:17,95901200,"Dodson Way, Peterborough PE1 5XJ, GB",3607,2699,9475,37,66,7.5,-185999,52623013,"0°11'09.5"" W","52°37'22.8"" N",-205493,52574208,"0°12'19.7"" W","52°34'27.1"" N",19875,1,9475,1-44036-5302045573,0.616,1,0.528,0,1,0,0.855,1,0.932
9954166414,2,##WF65EXH,MIHS - PET - Martin ,23/02/2022 10:17:12,95891550,"Crowland Road, Peterborough PE6 7TT, GB",23/02/2022 10:27:25,95891725,"Crowland Road, Peterborough PE6 7TT, GB",613,563,175,5,27,0.5,-186374,52621451,"0°11'10.9"" W","52°37'17.2"" N",-186111,52622978,"0°11'10.0"" W","52°37'22.7"" N",1325,1,175,1-44036-5302045573,0.802,1,1,0,1,0.611,1,1,1
9953953993,2,##WF65EXH,MIHS - PET - Martin ,23/02/2022 08:20:59,95881380,"Dodson Way, Peterborough PE1 5XJ, GB",23/02/2022 09:41:20,95891550,"Crowland Road, Peterborough PE6 7TT, GB",4821,3552,10170,27,70,5,-205410,52573602,"0°12'19.4"" W","52°34'24.9"" N",-186336,52621420,"0°11'10.8"" W","52°37'17.1"" N",13250,1,10170,1-44036-5302045573,0.723,1,1,0,1,0.401,0.764,1,0.897
9951804447,2,##WF65EXH,MIHS - PET - Martin ,22/02/2022 14:31:58,95867420,"115 Wisbech Road, Peterborough PE6 0TA, GB",22/02/2022 15:36:31,95881380,"Dodson Way, Peterborough PE1 5XJ, GB",3873,2754,13960,43,91,6,-94416,52621281,"0°05'39.9"" W","52°37'16.6"" N",-205822,52573336,"0°12'20.9"" W","52°34'24.0"" N",15900,1,13960,1-44036-5302045573,0.574,1,0.452,0,1,0,0.715,1,0.851
9950561685,2,##WF65EXH,MIHS - PET - Martin ,22/02/2022 10:14:18,95842815,"40 Overton Way, Peterborough PE2 5HF, GB",22/02/2022 10:48:57,95867420,"111 Wisbech Road, Peterborough PE6 0TA, GB",2079,478,24605,54,92,7,-296148,52547356,"0°17'46.1"" W","52°32'50.4"" N",-94678,52621354,"0°05'40.8"" W","52°37'16.8"" N",18550,1,24605,1-44036-5302045573,0.796,1,0.358,1,1,0.352,1,1,0.864
9950036944,2,##WF65EXH,MIHS - PET - Martin ,22/02/2022 07:46:56,95828090,"Dodson Way, Peterborough PE1 5XJ, GB",22/02/2022 08:53:41,95842815,"40 Overton Way, Peterborough PE2 5HF, GB",4005,2887,14725,47,91,6,-206089,52573837,"0°12'21.9"" W","52°34'25.8"" N",-296138,52547360,"0°17'46.1"" W","52°32'50.5"" N",15900,1,14725,1-44036-5302045573,0.687,1,1,0.2,1,0.004,0.764,1,0.84
9959957014,2,##WF65EXJ,MIHS - PET,24/02/2022 18:03:46,73972040,"Dodson Way, Peterborough PE1 5XJ, GB",24/02/2022 20:53:37,74071750,"Dodson Way, Peterborough PE1 5XJ, GB",10191,463,99710,36,91,35,-205549,52573248,"0°12'19.9"" W","52°34'23.6"" N",-205606,52573373,"0°12'20.1"" W","52°34'24.1"" N",92750,1,99710,1-44036-530204554E,0.679,1,0.251,1,1,0.2,0.608,1,0.693
9959223566,2,##WF65EXJ,MIHS - PET,24/02/2022 14:16:08,73971595,"Dodson Way, Peterborough PE1 5XJ, GB",24/02/2022 15:38:13,73972040,"Dodson Way, Peterborough PE1 5XJ, GB",4925,4810,445,7,20,1.5,-205557,52573318,"0°12'20.0"" W","52°34'23.9"" N",-205498,52573529,"0°12'19.7"" W","52°34'24.7"" N",3975,1,445,1-44036-530204554E,0.761,1,0.215,0.112,1,1,1,1,1
9952589879,2,##WF65EXJ,MIHS - PET,22/02/2022 18:53:45,73872955,"Dodson Way, Peterborough PE1 5XJ, GB",22/02/2022 21:35:20,73971595,"Dodson Way, Peterborough PE1 5XJ, GB",9695,410,98640,38,91,35.5,-205517,52573335,"0°12'19.8"" W","52°34'24.0"" N",-205546,52573331,"0°12'19.9"" W","52°34'23.9"" N",94075,1,98640,1-44036-530204554E,0.688,1,0.249,1,1,0.353,0.534,1,0.681
9951168900,2,##WF65EXJ,MIHS - PET,22/02/2022 12:44:26,73872565,"Dodson Way, Peterborough PE1 5XJ, GB",22/02/2022 13:06:12,73872955,"Dodson Way, Peterborough PE1 5XJ, GB",1306,1255,390,3,17,1.5,-205516,52573263,"0°12'19.8"" W","52°34'23.7"" N",-205516,52573334,"0°12'19.8"" W","52°34'24.0"" N",3975,1,390,1-44036-530204554E,0.741,1,0.169,0.016,1,1,1,1,1
9961295318,2,#BF67EBP,MIHS - HAM,25/02/2022 08:33:12,65740030,"Jacob's Gutter Lane, Southampton SO40 9FT, GB",25/02/2022 09:28:30,65769580,"Alderholt Road, Fordingbridge SP6 1PT, GB",3318,1119,29550,47,74,6.375,-1493378,50905618,"1°29'36.1"" W","50°54'20.2"" N",-1829766,50928600,"1°49'47.1"" W","50°55'42.9"" N",16893,1,29550,1-44036-299CD51717,0.686,1,0.494,0.155,1,0.355,0.8,1,1
9958138176,2,#BF67EBP,MIHS - HAM,24/02/2022 10:23:34,65717650,"Mount Pleasant Lane, Lymington SO41 9ZS, GB",24/02/2022 11:23:40,65740030,"Jacob's Gutter Lane, Southampton SO40 9FT, GB",3606,1887,22380,45,91,6.281,-1561064,50771501,"1°33'39.8"" W","50°46'17.4"" N",-1494152,50905401,"1°29'38.9"" W","50°54'19.4"" N",16644,1,22380,1-44036-299CD51717,0.533,1,0.341,0.014,1,0.216,0.3,1,0.863
9957821091,2,#BF67EBP,MIHS - HAM,24/02/2022 09:01:28,65714735,"25 Leigh Park, Lymington SO41 9JZ, GB",24/02/2022 10:15:29,65717650,"Mount Pleasant Lane, Lymington SO41 9ZS, GB",4441,4044,2915,22,47,2.531,-1555232,50758836,"1°33'18.8"" W","50°45'31.8"" N",-1561090,50771502,"1°33'39.9"" W","50°46'17.4"" N",6707,1,2915,1-44036-299CD51717,0.483,1,0.541,0,1,0,0.1,1,0.738
9957313599,2,#BF67EBP,MIHS - HAM,24/02/2022 08:04:34,65711140,"Wellworthy Road, Lymington SO41 8JY, GB",24/02/2022 08:22:41,65714735,"25 Leigh Park, Lymington SO41 9JZ, GB",1087,600,3595,24,47,1.313,-1551222,50771550,"1°33'04.3"" W","50°46'17.5"" N",-1555369,50758903,"1°33'19.3"" W","50°45'32.0"" N",3479,1,3595,1-44036-299CD51717,0.61,1,1,0.029,1,0.286,0.1,1,0.854
9957217778,2,#BF67EBP,MIHS - HAM,24/02/2022 07:24:29,65690595,"Moonscross Avenue, Southampton SO40 9FS, GB",24/02/2022 08:01:31,65711140,"Wellworthy Road, Lymington SO41 8JY, GB",2222,699,20545,48,92,4.781,-1494495,50905583,"1°29'40.1"" W","50°54'20.1"" N",-1551151,50771521,"1°33'04.1"" W","50°46'17.4"" N",12669,1,20545,1-44036-299CD51717,0.748,1,0.52,1,1,0.313,0.536,1,0.869
9961036976,2,#BG20ZHE,MIHS - OXF,25/02/2022 08:08:27,40361977,"Drayton Road, Abingdon OX14 4HA, GB",25/02/2022 08:30:52,40362344,"Drayton Road, Abingdon OX14 4HA, GB",1345,1256,367,5,26,0.114,-1294632,51642391,"1°17'40.6"" W","51°38'32.6"" N",-1294515,51642369,"1°17'40.2"" W","51°38'32.5"" N",293,1,367,1-44036-3237AE476B,1,1,1,1,1,1,1,1,1
9960768015,2,#BG20ZHE,MIHS - OXF,25/02/2022 07:12:23,40345128,"Bonners Mead, Wallingford OX10 6, GB",25/02/2022 07:30:28,40361977,"Drayton Road, Abingdon OX14 4HA, GB",1085,15,16849,57,94,1.939,-1110727,51623361,"1°06'38.6"" W","51°37'24.1"" N",-1294663,51642417,"1°17'40.7"" W","51°38'32.7"" N",5110,1,16849,1-44036-3237AE476B,0.823,1,1,1,1,0.642,0.7,1,0.42
9959509928,2,#BG20ZHE,MIHS - OXF,24/02/2022 16:34:29,40328271,"High Street, Abingdon OX14 4, GB",24/02/2022 16:54:59,40345128,"Bonners Mead, Wallingford OX10 6, GB",1230,60,16857,51,94,1.716,-1295416,51642630,"1°17'43.5"" W","51°38'33.4"" N",-1110744,51623320,"1°06'38.6"" W","51°37'23.9"" N",4519,1,16857,1-44036-3237AE476B,0.87,1,1,1,1,0.799,0.746,1,0.545
9959334199,2,#BG20ZHE,MIHS - OXF,24/02/2022 15:22:56,40303833,"Northern By Pass Road, Oxford OX3 9, GB",24/02/2022 16:05:22,40328271,"High Street, Abingdon OX14 4, GB",2546,921,24438,53,109,2.899,-1222013,51772626,"1°13'19.2"" W","51°46'21.4"" N",-1295356,51642598,"1°17'43.2"" W","51°38'33.3"" N",7632,1,24438,1-44036-3237AE476B,0.839,1,1,1,1,0.432,0.7,1,0.742
9958948059,2,#BG20ZHE,MIHS - OXF,24/02/2022 13:37:07,40298943,"North Way, Oxford OX3 9EX, GB",24/02/2022 14:32:26,40303833,"Northern By Pass Road, Oxford OX3 9, GB",3319,2797,4890,33,84,1.068,-1205830,51766363,"1°12'20.9"" W","51°45'58.9"" N",-1222016,51772713,"1°13'19.2"" W","51°46'21.7"" N",2737,1,4890,1-44036-3237AE476B,0.798,1,1,0,1,0.954,0.827,1,0.803
9957859192,2,#BG20ZHE,MIHS - OXF,24/02/2022 09:29:52,40291405,"Northern By Pass Road, Oxford OX3 9, GB",24/02/2022 10:23:40,40298943,"Northern By Pass Road, Oxford OX3 9, GB",3228,2279,7538,21,81,1.031,-1221785,51772606,"1°13'18.4"" W","51°46'21.3"" N",-1206788,51766648,"1°12'24.4"" W","51°45'59.9"" N",2694,1,7538,1-44036-3237AE476B,0.878,1,1,1,1,0.762,0.665,1,0.719
9957591687,2,#BG20ZHE,MIHS - OXF,24/02/2022 09:16:31,40288036,"Cutteslowe Park, Oxford OX2 8, GB",24/02/2022 09:24:40,40291405,"Northern By Pass Road, Oxford OX3 9, GB",489,278,3369,55,83,0.395,-1262329,51788331,"1°15'44.3"" W","51°47'17.9"" N",-1221837,51772611,"1°13'18.6"" W","51°46'21.4"" N",1034,1,3369,1-44036-3237AE476B,0.957,1,1,1,1,0.929,0.9,1,0.868
9957530200,2,#BG20ZHE,MIHS - OXF,24/02/2022 08:01:47,40262287,"High Street, Abingdon OX14 4, GB",24/02/2022 09:11:09,40288036,"Cutteslowe Park, Oxford OX2 8, GB",4162,2418,25749,52,109,3.11,-1294845,51642444,"1°17'41.4"" W","51°38'32.8"" N",-1262302,51788343,"1°15'44.2"" W","51°47'18.0"" N",8174,1,25749,1-44036-3237AE476B,0.789,1,0.631,0.218,1,0.796,1,1,0.881
9957085076,2,#BG20ZHE,MIHS - OXF,24/02/2022 07:10:02,40245460,"Bonners Mead, Wallingford OX10 6, GB",24/02/2022 07:31:35,40262287,"Drayton Road, Abingdon OX14 4HA, GB",1293,153,16827,52,96,1.833,-1110655,51623313,"1°06'38.3"" W","51°37'23.9"" N",-1294719,51642455,"1°17'40.9"" W","51°38'32.8"" N",4822,1,16827,1-44036-3237AE476B,0.828,1,1,1,1,0.661,0.704,1,0.429
